Lucent Dossier: The Human Ascension Project	Red Lightning :: Blue Thunder	Performance	['Thursday, August 29th, 2019, 11 PM – 2 AM <--> Friday, August 30th, 2019, 11 PM – 2 AM ']	http://lucentdossier.com/
Awful Waffles @ the Awful House	Camp EAT Me	Food	['Thursday, August 29th, 2019, 11 PM – 1 AM ']	https://www.facebook.com/campeatme
AWFUL'S MUST DIE	Awful's Gas & Snack	Gathering/Party	['Thursday, August 29th, 2019, 11 PM – 2 AM ']	AWFUL'S GAS & SNACK IS A FRONT! WE WILL EXPOSE FRANK GRUNDERSON'S CRIMES AND DESTROY THIS MONUMENT TO DECADENCE! WITH THE POWER OF BASS!
Tea House	Salute Your Jorts	Gathering/Party	['Monday, August 26th, 2019, 11 PM – 1 AM <--> Thursday, August 29th, 2019, 11 PM – 1 AM ']	We keep the vibes high and the kettle hot. Sip on some tea and get your tarot cards read as a chill pit-stop amidst your nighttime adventures!
Magic & Miracles in the Dust at (NOT) Midnight!	Black Rock Mystics	Adult-oriented	['Monday, August 26th, 2019, 11 PM – 1:15 AM <--> Tuesday, August 27th, 2019, 11 PM – 1:15 AM <--> Thursday, August 29th, 2019, 11 PM – 1:15 AM <--> Friday, August 30th, 2019, 11 PM – 1:15 AM ']	magicdoc@sprainedangles.com
Make Friendship bracelets at the FriendZone	The Friend Zone	Class/Workshop	['Tuesday, August 27th, 2019, 11 PM – 2 AM <--> Thursday, August 29th, 2019, 11 PM – 2 AM ']	Say, I love you but I'm not IN love with you to that special plutonic partner.
Dance with the Dead - A Dia de Muertos Ceremony 	The Temple of Direction	Ritual/Ceremony	['Thursday, August 29th, 2019, 11 PM – 1 AM ']	http://axolotlearthguardian.com/
Phish Dick's	MindShark	Food	['Thursday, August 29th, 2019, 11 PM – 4 AM ']	http://www.campmindshark.com/
Scoth & Hop Bar and Lounge	Scotch & Hop	Gathering/Party	['Sunday, August 25th, 2019, 11:30 PM – 2 AM <--> Monday, August 26th, 2019, 11:30 PM – 2 AM <--> Tuesday, August 27th, 2019, 11:30 PM – 2 AM <--> Wednesday, August 28th, 2019, 11:30 PM – 2 AM <--> Thursday, August 29th, 2019, 11:30 PM – 2 AM <--> Friday, August 30th, 2019, 11:30 PM – 2 AM <--> Saturday, August 31st, 2019, 11:30 PM – 2 AM ']	Come journey to our cozy Scotch Bar and let us please you with amazing scotch and we will also be offering a few of our favourite camp cocktails. Come relax and mingle in our lounge and share with us tall tales of the Black Rock.
Scotch & Hop Playground	Scotch & Hop	Game	['Sunday, August 25th, 2019, 11:45 PM – 11:45 AM <--> Monday, August 26th, 2019, 11:45 PM – 11:45 AM <--> Tuesday, August 27th, 2019, 11:45 PM – 11:45 AM <--> Wednesday, August 28th, 2019, 11:45 PM – 11:45 AM <--> Thursday, August 29th, 2019, 11:45 PM – 11:45 AM <--> Friday, August 30th, 2019, 11:45 PM – 11:45 AM ']	Camp Scotch & Hop brings you a 24 hour playground witth various outdoor games for your amusement. Play to your harts content and than come to refresh and relax in our shaded Bar & Lounge.
Game Nights at the Tecopa Yacht Club	Tecopa Yacht Club	Game	['Wednesday, August 28th, 2019, 11:45 PM – 2:45 AM <--> Thursday, August 29th, 2019, 11:45 PM – 2:45 AM <--> Friday, August 30th, 2019, 11:45 PM – 2:45 AM <--> Saturday, August 31st, 2019, 11:45 PM – 2:45 AM ']	sundaeontheplaya@gmail.com
Tarot Readings at the Tower	The Tower	Other	['Tuesday, August 27th, 2019, 11:45 PM – 12 AM <--> Thursday, August 29th, 2019, 11:45 PM – 12 AM ']	Want to know your future? tough shit, we can't help you. Come have your cards read at The Tower. (Check art listings for The Tower's location)
An Evening of Performances at the Shrine	The Shrine of Sympathetic Resonance	Ritual/Ceremony	['Thursday, August 29th, 2019, 11:45 PM – 2 AM ']	http://www.soundcave.org
Guest Performances on the Shrine	The Shrine of Sympathetic Resonance	Performance	['Monday, August 26th, 2019, 11:45 PM – 1 AM <--> Tuesday, August 27th, 2019, 11:45 PM – 1 AM <--> Wednesday, August 28th, 2019, 11:45 PM – 1 AM <--> Thursday, August 29th, 2019, 11:45 PM – 1 AM ']	http://www.soundcave.org
Sober GlamVentures	GLAMCOCKS	Gathering/Party	['Thursday, August 29th, 2019, 12 AM – 1 AM <--> Friday, August 30th, 2019, 12 AM – 1 AM ']	With a clear mind and an open heart, come meet us at the giant penis in front of camp for a substance free guided adventure out on the playa. Bikes, lights, and an adventurous spirit required.
Lesbian Lending Library	Beaverton	Care/Support	['Monday, August 26th, 2019, 12 AM – 12 PM <--> Tuesday, August 27th, 2019, 12 AM – 12 PM <--> Wednesday, August 28th, 2019, 12 AM – 12 PM <--> Thursday, August 29th, 2019, 12 AM – 12 PM <--> Friday, August 30th, 2019, 12 AM – 12 PM <--> Saturday, August 31st, 2019, 12 AM – 12 PM ']	http://www.campbeaverton.org
Your Pic With Our Stellar Black Hole	Black Hole Literary Society	Other	['Monday, August 26th, 2019, 12 AM – 12:15 AM <--> Tuesday, August 27th, 2019, 12 AM – 12:15 AM <--> Wednesday, August 28th, 2019, 12 AM – 12:15 AM <--> Thursday, August 29th, 2019, 12 AM – 12:15 AM <--> Friday, August 30th, 2019, 12 AM – 12:15 AM <--> Saturday, August 31st, 2019, 12 AM – 12:15 AM <--> Sunday, September 1st, 2019, 12 AM – 12:15 AM <--> Monday, September 2nd, 2019, 12 AM – 12:15 AM ']	Snap your picture with our colorful black hole, the Playa’s cousin to the one in galaxy M87.
After Hours Orgy!	Orgy Bus Camp	Adult-oriented	['Monday, August 26th, 2019, 12 AM – 2 AM <--> Tuesday, August 27th, 2019, 12 AM – 2 AM <--> Wednesday, August 28th, 2019, 12 AM – 2 AM <--> Thursday, August 29th, 2019, 12 AM – 2 AM <--> Friday, August 30th, 2019, 12 AM – 2 AM <--> Saturday, August 31st, 2019, 12 AM – 2 AM ']	If you missed our evening party you can still come for an after hours poly orgy! Opening ceremony @ 12 AM. No single guys. 21+ ID Required
Late Night Food Court	Feed tHE ARTists	Food	['Monday, August 26th, 2019, 12 AM – 1 AM <--> Tuesday, August 27th, 2019, 12 AM – 1 AM <--> Wednesday, August 28th, 2019, 12 AM – 1 AM <--> Thursday, August 29th, 2019, 12 AM – 1 AM <--> Friday, August 30th, 2019, 12 AM – 1 AM ']	Every night we share teas, coffee, and snacks with our Burning Man family. Come Join us.
Flavored Water	Freaks United Karma Collective	Food	['Monday, August 26th, 2019, 12 AM – 12 PM <--> Tuesday, August 27th, 2019, 12 AM – 12 PM <--> Wednesday, August 28th, 2019, 12 AM – 12 PM <--> Thursday, August 29th, 2019, 12 AM – 12 PM <--> Friday, August 30th, 2019, 12 AM – 12 PM <--> Saturday, August 31st, 2019, 12 AM – 12 PM <--> Sunday, September 1st, 2019, 12 AM – 12 PM ']	What's better than someone giving you cold water in the excruciating playa heat? Someone giving you cold FLAVORED water. If you don't agree with me, that’s because you haven't tried our flavored water yet. Our cold flavored water will be served 24/7.
The Boombike Mobile Disco Service & Champagne too!	Signup mailbox at the I know you know sign at 4 and I	Gathering/Party	['Thursday, August 29th, 2019, 12 AM – 8 AM <--> Friday, August 30th, 2019, 12 AM – 8 AM <--> Saturday, August 31st, 2019, 12 AM – 8 AM <--> Sunday, September 1st, 2019, 12 AM – 8 AM ']	The Boombike Mobile Disco Service and Champagne Too! Tired of listening to the same EDM beats all day? Your sound system sounds like it's coming out of the porta potties? Call the Boombike Mobile Disco Service and Champagne Too! We have the best playlists on the bicyclest sound system ever imagined in the History of Mankind: The Boombike. Sign-up at the mailbox at Boombike HQ and we'll show up at your camp at your preferred time (ish). Bossa nova, neo disco, electro-pop, poolside jams, electro-klezmer, electro-punk, french electro-emo, mizrahi beats, you-name-it - we have it all! You don't necessarily get to choose.
Come Perform on our Stage!	Performance Stage, Center Camp Cafe.	Performance	['Monday, August 26th, 2019, 12 AM – 12 PM <--> Tuesday, August 27th, 2019, 12 AM – 12 PM <--> Wednesday, August 28th, 2019, 12 AM – 12 PM <--> Thursday, August 29th, 2019, 12 AM – 12 PM <--> Friday, August 30th, 2019, 12 AM – 12 PM <--> Saturday, August 31st, 2019, 12 AM – 12 PM ']	The Center Camp Performance stage is available to walk-up performers. Must bring instruments and perform ORIGINAL pieces. No covers allowed. We provide amplification you bring your original work (music, poetry, etc..)
Lip Bomb Lip Balm Giveaway	Camp Lip Bomb	Care/Support	['Monday, August 26th, 2019, 12 AM – 12:15 AM <--> Tuesday, August 27th, 2019, 12 AM – 12:15 AM <--> Wednesday, August 28th, 2019, 12 AM – 12:15 AM <--> Thursday, August 29th, 2019, 12 AM – 12:15 AM <--> Friday, August 30th, 2019, 12 AM – 12:15 AM ']	camplipbomb@gmail.com
Stay out of MindShark	MindShark	Gathering/Party	['Monday, August 26th, 2019, 12 AM – 12 PM <--> Tuesday, August 27th, 2019, 12 AM – 12 PM <--> Wednesday, August 28th, 2019, 12 AM – 12 PM <--> Thursday, August 29th, 2019, 12 AM – 12 PM <--> Friday, August 30th, 2019, 12 AM – 12 PM <--> Saturday, August 31st, 2019, 12 AM – 12 PM ']	http://www.campmindshark.com/
Gypsy Nebula Village BRC Boardwalk	Trailer Trash	Other	['Monday, August 26th, 2019, 12 AM – 12 PM <--> Tuesday, August 27th, 2019, 12 AM – 12 PM <--> Wednesday, August 28th, 2019, 12 AM – 12 PM <--> Thursday, August 29th, 2019, 12 AM – 12 PM <--> Friday, August 30th, 2019, 12 AM – 12 PM <--> Saturday, August 31st, 2019, 12 AM – 12 PM ']	coyoterising@frontiernet.net
Octazigon Bar	7:15 & E, entrance to Golden Guy Alley	Gathering/Party	['Tuesday, August 27th, 2019, 12 AM – 4 AM <--> Wednesday, August 28th, 2019, 12 AM – 4 AM <--> Thursday, August 29th, 2019, 12 AM – 4 AM <--> Friday, August 30th, 2019, 12 AM – 4 AM <--> Saturday, August 31st, 2019, 12 AM – 4 AM <--> Sunday, September 1st, 2019, 12 AM – 4 AM ']	Stop by for craft cocktails and hot tea at our beautiful Moroccan-themed octagon bar. Velvet drapes, candlelight, bartenders in bow ties...can you feel the romance? Find us at the 7:15 & E entrance to the fabulous Golden Guy Alley!
Beaver Dome	Beaverton	Adult-oriented	['Monday, August 26th, 2019, 12 AM – 12 PM <--> Tuesday, August 27th, 2019, 12 AM – 12 PM <--> Wednesday, August 28th, 2019, 12 AM – 12 PM <--> Thursday, August 29th, 2019, 12 AM – 12 PM <--> Friday, August 30th, 2019, 12 AM – 12 PM <--> Saturday, August 31st, 2019, 12 AM – 12 PM ']	http://www.campbeaverton.org
Late Night Corny Popcorn	Elliphyno	Food	['Monday, August 26th, 2019, 12 AM – 2 AM <--> Tuesday, August 27th, 2019, 12 AM – 2 AM <--> Wednesday, August 28th, 2019, 12 AM – 2 AM <--> Thursday, August 29th, 2019, 12 AM – 2 AM <--> Friday, August 30th, 2019, 12 AM – 2 AM <--> Saturday, August 31st, 2019, 12 AM – 2 AM ']	morgan_picoy@yahoo.com
Stan Lee Memorial (@Camp Muse in Silicon Village)	M.U.S.E.	Ritual/Ceremony	['Monday, August 26th, 2019, 12 AM – 12 PM <--> Tuesday, August 27th, 2019, 12 AM – 12 PM <--> Wednesday, August 28th, 2019, 12 AM – 12 PM <--> Thursday, August 29th, 2019, 12 AM – 12 PM <--> Friday, August 30th, 2019, 12 AM – 12 PM ']	Visit the memorial to Stan Lee, a comic legend. You can leave notes of how he shaped or changed your life and borrow a comic from our library to read. We will have a library of comics that you can borrow or take back with you to read. Please do not MOOP any comics. At the memorial you can leave a note of how he inspired you or changed your life. On Friday we will be taking the memorial to the temple.
Desert Techno Beats	Ali Bar-Bar	Gathering/Party	['Friday, August 30th, 2019, 12 AM – 2 AM ']	http://www.alibarbar.org
The Arrival Stage	Playground	Performance	['Tuesday, August 27th, 2019, 12 AM – 7 AM <--> Wednesday, August 28th, 2019, 12 AM – 7 AM <--> Thursday, August 29th, 2019, 12 AM – 7 AM <--> Friday, August 30th, 2019, 12 AM – 7 AM <--> Saturday, August 31st, 2019, 12 AM – 7 AM <--> Sunday, September 1st, 2019, 12 AM – 7 AM <--> Monday, September 2nd, 2019, 12 AM – 7 AM ']	https://www.facebook.com/PlaygroundBRC
Plato’s Cave of Love	Hibernaculum	Adult-oriented	['Monday, August 26th, 2019, 12 AM – 12 PM <--> Tuesday, August 27th, 2019, 12 AM – 12 PM <--> Wednesday, August 28th, 2019, 12 AM – 12 PM <--> Thursday, August 29th, 2019, 12 AM – 12 PM <--> Friday, August 30th, 2019, 12 AM – 12 PM <--> Saturday, August 31st, 2019, 12 AM – 12 PM ']	Sex positive pyramid with nooks on the sides and chains in the middle... a meditation on the reflection/trappings of love. Self-serve space.
Midnight Pork Buns (also Egg Custard & Red Bean)	Bao Village	Food	['Monday, August 26th, 2019, 12 AM – 2 AM <--> Tuesday, August 27th, 2019, 12 AM – 2 AM <--> Wednesday, August 28th, 2019, 12 AM – 2 AM <--> Thursday, August 29th, 2019, 12 AM – 2 AM <--> Friday, August 30th, 2019, 12 AM – 2 AM ']	Fill your belly with our fresh and delicious steamed-to-order bao (Chinese dim sum buns), served up twice a day, every day, at noon and midnight. Dance on our pole to skip the line! We bring the Bao, you bring the Chicka Wow Wow.
Radiance Dome Chill Zone Concerts	Reverbia	Performance	['Tuesday, August 27th, 2019, 1 AM – 5 AM <--> Wednesday, August 28th, 2019, 1 AM – 5 AM <--> Thursday, August 29th, 2019, 1 AM – 5 AM <--> Friday, August 30th, 2019, 1 AM – 5 AM <--> Saturday, August 31st, 2019, 1 AM – 5 AM <--> Sunday, September 1st, 2019, 1 AM – 5 AM ']	https://Reverbia.org
Late Night Feelings Corner	Camp Daddy Issues	Other	['Monday, August 26th, 2019, 2 AM – 5 AM <--> Tuesday, August 27th, 2019, 2 AM – 5 AM <--> Wednesday, August 28th, 2019, 2 AM – 5 AM <--> Thursday, August 29th, 2019, 2 AM – 5 AM <--> Friday, August 30th, 2019, 2 AM – 5 AM <--> Saturday, August 31st, 2019, 2 AM – 5 AM ']	Need a cozy spot to express some late night feels? Stop on by our Feelings Corner to drink tea and let out any burny feelings. Watch for the illuminated “FEELINGS” sign every night after 2am. Come alone, come with friends, or come with strangers, we welcome all! No topic of conversation is too feely.
Sasquavision Theatre	Intergalactic Sasquatch Village	Other	['Monday, August 26th, 2019, 2 AM – 6 AM <--> Tuesday, August 27th, 2019, 2 AM – 6 AM <--> Wednesday, August 28th, 2019, 2 AM – 6 AM <--> Thursday, August 29th, 2019, 2 AM – 6 AM <--> Friday, August 30th, 2019, 2 AM – 6 AM ']	Tuckered and far away from your playa home? Have a rest, cuddle up and enjoy some of the Sasquai’s favorite shows. Beaming in nightly.
Sparky & Friends Multi Art Car Collaboration	Positive Reactor	Gathering/Party	['Friday, August 30th, 2019, 3 AM – 6 AM ']	https://www.thereactorproject.com/
Head maze late night	Head Maze	Other	['Tuesday, August 27th, 2019, 4 AM – 7 AM <--> Wednesday, August 28th, 2019, 4 AM – 7 AM <--> Thursday, August 29th, 2019, 4 AM – 7 AM <--> Friday, August 30th, 2019, 4 AM – 7 AM <--> Saturday, August 31st, 2019, 4 AM – 7 AM <--> Sunday, September 1st, 2019, 4 AM – 7 AM ']	Come explore the head maze in the early am hours. Trek out past the temple and find a new kind of sunrise adventure. Limited capacity.
Ooooh Shiney Tour	Mobility Camp	Other	['Monday, August 26th, 2019, 5:45 AM – 8 AM <--> Tuesday, August 27th, 2019, 5:45 AM – 8 AM <--> Wednesday, August 28th, 2019, 5:45 AM – 8 AM <--> Thursday, August 29th, 2019, 5:45 AM – 8 AM <--> Friday, August 30th, 2019, 5:45 AM – 8 AM <--> Saturday, August 31st, 2019, 5:45 AM – 8 AM <--> Sunday, September 1st, 2019, 5:45 AM – 8 AM ']	https://mobilitycamp.org
Build-Your-Own-BILF Breakfast Bar	Cornstars	Gathering/Party	['Monday, August 26th, 2019, 6 AM – 8 AM <--> Tuesday, August 27th, 2019, 6 AM – 8 AM <--> Wednesday, August 28th, 2019, 6 AM – 8 AM <--> Thursday, August 29th, 2019, 6 AM – 8 AM <--> Friday, August 30th, 2019, 6 AM – 8 AM ']	Whether you had a late night or an early morning, this is the BILF you’re looking for. There’s no I in Team, but our bartenders will help you put the B in BILF! Will you choose Bailey’s, a banana, or a bear for breakfast, oh my?
Sweet Memories Coffee Bar	Wrongtown	Food	['Monday, August 26th, 2019, 6 AM – 10 AM <--> Tuesday, August 27th, 2019, 6 AM – 10 AM <--> Wednesday, August 28th, 2019, 6 AM – 10 AM <--> Thursday, August 29th, 2019, 6 AM – 10 AM <--> Friday, August 30th, 2019, 6 AM – 10 AM <--> Saturday, August 31st, 2019, 6 AM – 10 AM ']	https://wrongtown.xyz
Quiet Reflection	Comfort & Joy	Ritual/Ceremony	['Monday, August 26th, 2019, 6 AM – 9 AM <--> Tuesday, August 27th, 2019, 6 AM – 9 AM <--> Wednesday, August 28th, 2019, 6 AM – 9 AM <--> Thursday, August 29th, 2019, 6 AM – 9 AM <--> Friday, August 30th, 2019, 6 AM – 9 AM <--> Saturday, August 31st, 2019, 6 AM – 9 AM <--> Sunday, September 1st, 2019, 6 AM – 9 AM ']	Come and grab some shade and solitude in our shade tent meditate, nap, be still be quiet. 6 am - 9 am in Tiara at Comfort & Joy Village
Meditation Lounge	Namaste & Chill	Care/Support	['Monday, August 26th, 2019, 6 AM – 10 AM <--> Tuesday, August 27th, 2019, 6 AM – 10 AM <--> Wednesday, August 28th, 2019, 6 AM – 10 AM <--> Thursday, August 29th, 2019, 6 AM – 10 AM <--> Friday, August 30th, 2019, 6 AM – 10 AM <--> Saturday, August 31st, 2019, 6 AM – 10 AM <--> Sunday, September 1st, 2019, 6 AM – 10 AM ']	http://namasteandchill.org
Welcome The Sun Cocktail Party	Math Camp @ Group W	Gathering/Party	['Friday, August 30th, 2019, 6 AM – 6 PM ']	Happy_Squirrel@juno.com
Sunrise at We. the people Art Installation	WE. The People.	Ritual/Ceremony	['Monday, August 26th, 2019, 6 AM – 6:15 AM <--> Tuesday, August 27th, 2019, 6 AM – 6:15 AM <--> Wednesday, August 28th, 2019, 6 AM – 6:15 AM <--> Thursday, August 29th, 2019, 6 AM – 6:15 AM <--> Friday, August 30th, 2019, 6 AM – 6:15 AM <--> Saturday, August 31st, 2019, 6 AM – 6:15 AM <--> Sunday, September 1st, 2019, 6 AM – 6:15 AM ']	Celebrate the liminal space of metamorphosis with daily Sunrise Dedications to the creative forces of the universe. Ceremony of the people, with the people, as a party with the Everything. Monday begins with honoring the Earth. Each day follows as the Wind, then Water, Fire, Cosmos, Love, and finally Death as the ultimate transition on the morning of the Temple Burn.
Bad Coffee at the Gas Station	Awful's Gas & Snack	Food	['Monday, August 26th, 2019, 6 AM – 7:30 AM <--> Tuesday, August 27th, 2019, 6 AM – 7:30 AM <--> Wednesday, August 28th, 2019, 6 AM – 7:30 AM <--> Thursday, August 29th, 2019, 6 AM – 7:30 AM <--> Friday, August 30th, 2019, 6 AM – 7:30 AM ']	Been up all night? Need coffee? Willing to settle for less? Come to AWFUL'S GAS & SNACK for your caffeine needs!
Sunrise Oracle	info@beedivineembodiment.com	Ritual/Ceremony	['Friday, August 30th, 2019, 6 AM – 7 AM <--> Saturday, August 31st, 2019, 6 AM – 7 AM <--> Sunday, September 1st, 2019, 6 AM – 7 AM ']	https://beedivineembodiment.com/
Sunrise Yoga and Meditation	I Love Elephants	Class/Workshop	['Monday, August 26th, 2019, 6 AM – 7:15 AM <--> Tuesday, August 27th, 2019, 6 AM – 7:15 AM <--> Wednesday, August 28th, 2019, 6 AM – 7:15 AM <--> Thursday, August 29th, 2019, 6 AM – 7:15 AM <--> Friday, August 30th, 2019, 6 AM – 7:15 AM <--> Saturday, August 31st, 2019, 6 AM – 7:15 AM <--> Sunday, September 1st, 2019, 6 AM – 7:15 AM ']	Tune in to the potent vibrations of the Playa. We'll cultivate awareness for the present moment & set powerful intentions for the day. Guest teachers.
The ritual sacrificing of the pineapple!	Covered-in-Bees!!!	Ritual/Ceremony	['Friday, August 30th, 2019, 6:15 AM – 6:45 AM ']	as performed by Dreadful Pirate Radius - There will be a pineapple. It will be sacrificed for the good of us all to the Dark Red Love God on the CiB stage. The knife will be large!
Amrita InfiniTEA House	DusTea	Class/Workshop	['Tuesday, August 27th, 2019, 7 AM – 7 PM <--> Wednesday, August 28th, 2019, 7 AM – 7 PM <--> Thursday, August 29th, 2019, 7 AM – 7 PM <--> Friday, August 30th, 2019, 7 AM – 7 PM <--> Saturday, August 31st, 2019, 7 AM – 7 PM ']	Come enjoy an array of offerings including workshops, meditation, movement and music with intention to help you cultivate a deeper relationship to yourself, community and Spirit.
Purple Disco Party	Playground	Performance	['Friday, August 30th, 2019, 7 AM – 12 PM ']	https://www.instagram.com/playgroundbrc/
Open AA Meeting (Alcoholics Anonymous)	Anonymous Village	Care/Support	['Monday, August 26th, 2019, 7 AM – 8 AM <--> Tuesday, August 27th, 2019, 7 AM – 8 AM <--> Wednesday, August 28th, 2019, 7 AM – 8 AM <--> Thursday, August 29th, 2019, 7 AM – 8 AM <--> Friday, August 30th, 2019, 7 AM – 8 AM <--> Saturday, August 31st, 2019, 7 AM – 8 AM <--> Sunday, September 1st, 2019, 7 AM – 8 AM ']	https://burnanon.org
Morning Meditation	Run Free Camp	Care/Support	['Monday, August 26th, 2019, 7 AM – 8 AM <--> Tuesday, August 27th, 2019, 7 AM – 8 AM <--> Wednesday, August 28th, 2019, 7 AM – 8 AM <--> Thursday, August 29th, 2019, 7 AM – 8 AM <--> Friday, August 30th, 2019, 7 AM – 8 AM <--> Saturday, August 31st, 2019, 7 AM – 8 AM <--> Sunday, September 1st, 2019, 7 AM – 8 AM ']	Morning Meditation - some days with singing bowl, yoga, or other mediums
5-Element Spinal Wake Up and Chanting w/Z!	RhythmWave	Class/Workshop	['Friday, August 30th, 2019, 7 AM – 8:30 AM ']	http://www.rhythmwave.org/
The Flower Forgiveness Ritual	Bee Divine Hive Temple	Ritual/Ceremony	['Friday, August 30th, 2019, 7 AM – 8:30 AM ']	Come get out of your head and into your heart space with this lotus flower forgiveness ritual. Our tribe will embody the energy of a lotus flower, each person a petal and our collective energies a unified flower in motion. This is a movement meditation activity, so bring a blanket or mat to lay on. The remnants of the ritual will then be taken to the main temple to burn and metamorphosize our intentions.
Early Riser Coffee Bar	Blissfits Retirement Village	Food	['Monday, August 26th, 2019, 7 AM – 10 AM <--> Tuesday, August 27th, 2019, 7 AM – 10 AM <--> Wednesday, August 28th, 2019, 7 AM – 10 AM <--> Thursday, August 29th, 2019, 7 AM – 10 AM <--> Friday, August 30th, 2019, 7 AM – 10 AM <--> Saturday, August 31st, 2019, 7 AM – 10 AM <--> Sunday, September 1st, 2019, 7 AM – 10 AM ']	Come n get ur cup a Joe...over soft Jazz & Giant Step every am.
Sunrise Tavern Sunrise Breakfast	Sunrise Tavern	Food	['Monday, August 26th, 2019, 7 AM – 11 AM <--> Tuesday, August 27th, 2019, 7 AM – 11 AM <--> Wednesday, August 28th, 2019, 7 AM – 11 AM <--> Thursday, August 29th, 2019, 7 AM – 11 AM <--> Friday, August 30th, 2019, 7 AM – 11 AM <--> Saturday, August 31st, 2019, 7 AM – 11 AM ']	The sun's peeking up & you look like an extra from World War Z. Come revive yerself with a wholesome breakfast - bacon, pancakes, coffee, bloodies etc
Sunrise + New Moon Ritual	Harmonic Convergence Camp	Ritual/Ceremony	['Friday, August 30th, 2019, 7 AM – 9 AM ']	jordanjrahme@gmail.com
The Temple Of Harmonics	The Playa Choir	Ritual/Ceremony	['Monday, August 26th, 2019, 7:30 AM – 9:30 AM <--> Tuesday, August 27th, 2019, 7:30 AM – 9:30 AM <--> Wednesday, August 28th, 2019, 7:30 AM – 9:30 AM <--> Thursday, August 29th, 2019, 7:30 AM – 9:30 AM <--> Friday, August 30th, 2019, 7:30 AM – 9:30 AM <--> Saturday, August 31st, 2019, 7:30 AM – 9:30 AM ']	https://www.playachoir.com
Morning Meditation	Anahasana Village	Class/Workshop	['Monday, August 26th, 2019, 7:30 AM – 8:30 AM <--> Tuesday, August 27th, 2019, 7:30 AM – 8:30 AM <--> Wednesday, August 28th, 2019, 7:30 AM – 8:30 AM <--> Thursday, August 29th, 2019, 7:30 AM – 8:30 AM <--> Friday, August 30th, 2019, 7:30 AM – 8:30 AM <--> Saturday, August 31st, 2019, 7:30 AM – 8:30 AM ']	Start your day by connecting with yourself and the earth around you. Become grounded in your body, mind, and soul!
Daily Sunrise Water Prayer	Red Lightning :: Blue Thunder	Ritual/Ceremony	['Monday, August 26th, 2019, 7:30 AM – 8 AM <--> Tuesday, August 27th, 2019, 7:30 AM – 8 AM <--> Wednesday, August 28th, 2019, 7:30 AM – 8 AM <--> Thursday, August 29th, 2019, 7:30 AM – 8 AM <--> Friday, August 30th, 2019, 7:30 AM – 8 AM <--> Saturday, August 31st, 2019, 7:30 AM – 8 AM ']	http://www.sacredwaterblessing.com
Silent Meditation	DusTea	Class/Workshop	['Tuesday, August 27th, 2019, 7:45 AM – 8:45 AM <--> Thursday, August 29th, 2019, 7:45 AM – 8:45 AM <--> Friday, August 30th, 2019, 7:45 AM – 8:45 AM ']	Restore your inner (and outer) self in silence. All levels of meditators or non-meditators. Instruction provided if wish be. Perfect introduction for the Yoga Brunch that follows.
dragoncamp armory metal bikini workshop	7:30 & F	Class/Workshop	['Monday, August 26th, 2019, 8 AM – 12 PM <--> Tuesday, August 27th, 2019, 8 AM – 12 PM <--> Wednesday, August 28th, 2019, 8 AM – 12 PM <--> Thursday, August 29th, 2019, 8 AM – 12 PM <--> Friday, August 30th, 2019, 8 AM – 12 PM <--> Saturday, August 31st, 2019, 8 AM – 12 PM ']	This is a highly participatory workshop where women will make and decorate their own sexy Armor Bikini to keep, wear, and share on the playa. Recyclable aluminum is used to hand hammer a custom fit costume using traditional hand metal working techniques handed down by cultures across the ages. Helpers will be available assist as needed, but past camps have shown that participants were all highly successful and delighted with their costumes and new skills. We will have a “dungeon” façade and props set up in the camp, along with our Giant Green Dragon mutant vehicle for a backdrop for the girls to shoot photos of their completed creations. Prop swords, axes and throne furnished for effect. Also new this year will be a body painting station for painting of “tribal tattoos” and theme- based decorative art for participants and accompanying friends. Think Dragons! A special bonus is our Must be Naked to Ride Life-Size Animatronic Dinosaur. Don't miss it. Workshop will be open daily 8am-noon. Construction takes about 2 hours. All materials gifted of course.
HorseShoe and Campground funtime yard Games	CampFire Cove	Game	['Monday, August 26th, 2019, 8 AM – 8 PM <--> Tuesday, August 27th, 2019, 8 AM – 8 PM <--> Wednesday, August 28th, 2019, 8 AM – 8 PM <--> Thursday, August 29th, 2019, 8 AM – 8 PM <--> Friday, August 30th, 2019, 8 AM – 8 PM <--> Saturday, August 31st, 2019, 8 AM – 8 PM ']	HorseShoe, Croquet, Cornhole and other camp ground games for your enjoyment 24/7
Teacher’s Lounge	Freak Akademy	Food	['Monday, August 26th, 2019, 8 AM – 10 AM <--> Tuesday, August 27th, 2019, 8 AM – 10 AM <--> Wednesday, August 28th, 2019, 8 AM – 10 AM <--> Thursday, August 29th, 2019, 8 AM – 10 AM <--> Friday, August 30th, 2019, 8 AM – 10 AM <--> Saturday, August 31st, 2019, 8 AM – 10 AM <--> Sunday, September 1st, 2019, 8 AM – 10 AM ']	We here at the freak akademy know you have been pulling a lot of all nighters “studying” for exxxams. So come by to have a drink with our fuckulty at our teachers lounge. Black coffee (with a little teacher helper in there) for all.
MOOP Hunt & Brunch	Space Goats	Other	['Friday, August 30th, 2019, 8 AM – 11 AM ']	We're packing a boom box and some MOOP-gathering supplies and combing the streets to keep our city clean. Meet back at camp for post-MOOP brunch.
