#Octothorpe	5:45 and I	Come #hashtag with us
#happylovejoy	9:00 and D	
Electric Cheese Land	8:45 and B	Say "Cheese" and enter our Electric Cheese Land, where delicious cheese dishes are being served. We will be serving Cheese Fondue, Raclette, Mac and Cheese and hosting 5th Year in the row Polish Vodka Bar - Na Zdrowie. Come and join us!
Electric Sheep + Shots for Shocks	7:00 and B	Creating strange and wonderful experiencial art since 2013. Chill bar hours every afternoon, weird shit every night. Possibly a little zappy hour, but no promises.
Elliot's Bicycle Service	4:00 and C	Bicycle Repair, Massage, Body Painting, Piano for all to play.
Elvis Wedding Chapel	7:30 and G	Wedding the nuptially needy
Emergence	8:15 and D	Emergence offers a high vibe space to make connections and share experiences, stories, ideas, and knowledge that reflect all the magic of Burning Man. Stop by our (wis)domes and see what sort of magical experience emerges for you! 
Empire of Dirt	3:00 Portal	home to numerous art projects and vehicles including: The Serpent Twins, The Golden Mean giant iron snail car, The Electrobite electric prehistoric wonder, Zeppelini the lost WWII personnel flight vehicle, and The Front Porch
Enchanted Booty Forest	8:45 and F	Our village is made up of two camps: the Enchanted Booty Forest and gNarnia! We are a warm and welcoming bunch of artists, healers, and friends offering an expansive and beautiful lounge. We host a homecoming party, variety show, dating game, crafting/burner effects customization station, tea and tarot, bodywork, collaborative live painting, and booty games! Our bar is open sometimes. Our camp is supporting the Chapel Perilous honoraria art project. EBF and gNarnia are a village for the first time this year, but have been sister camps for 5 years. gNarnia offers the best cold brew on playa every day of the event.
Entheogenesis	2:30 and G	featuring an interactive speaker series on Psychedelics
Entheos	4:00 and F
Equal and Opposite Camp	9:45 and C	We offer daily iChing readings, and Tai Chi at sunrise/sunset
Equilibrium	8:45 and C	It's vacation for fucks sake
Eurotrash Sangria Bar!	4:30 and G
F.U.Ego Stage Bar & Lounge	5:30 and A	Camp Fuego hosts a professional sound stage, a full bar, craft beer, hard cider & organic snow cones. F.U.Ego hosts a 'No Mercy' Karaoke Stage with Open Mic & Open DJ stage. We welcome DJs, musicians and bands to our stage. All performers are welcomed to Fuego's Backstage Lounge which offers air-conditioning and top shelf tequila & whiskey. Fuego's Slack Line operates 24/7 as does its self-serve Hippie Hydration Station serving water and electrolytes. Fuego's Fire Pit warms visitors in the cooler hours. Fuego's shade lounge offers hammocks, lounge chairs and a misting station. Karaoke singers take to F.U.Ego's No Mercy Karaoke Stage after agreeing they may be cut off at any time, by any person, for any reason or no reason at all. A gong ends performances without mercy! Fuego's Snow Cone Bar serves the playa's only organic snow cones and Italian sodas and our bar serves drinks to order.
FAFF Lounge	3:45 and C	Who among us has not been criticized for faffing? A British word, faff is defined as "spending your time doing things other than what you should be doing." And Burners have turned it into an acronym: FAFF - Fucking Around Fucking Forever. We've all been there.But at FAFF Lounge, we turn that judgment on its head. We embrace the faff, that important time when we say, “Fuck the things I should be doing!” and take time for ourself and our health.FAFF Lounge disrupts your type A To Do list with a space designed to ritually unravel your expectations. The FAFF crew will distract you from your ambitious playa agenda. We will engage you, tease you, entertain you and subvert you. Your scripted day will be ripped from your mind and thrown onto our FAFF shrine. It will be burned at the Temple. And you will be freer for it.FAFF Lounge is also home to Pedal Pies, that crazy loving team of foodies who craft gourmet wood-fired pizza at the most unlikely times and places all around Black Rock City.Who knows... you may even hit the jackpot. Imagine casting away your "shoulds", lying back in our FAFF Lounge and indulging in Pedal Pies pizza. Yeah, you just may be transformed. 
FANDANGO!	9:30 and B	Neighborhood Dive Bar complete with piano and pool table (usually.) Serving strong cocktails and playing music with words, all day and night.
FLASH AND BURN VILLAGE	5:30 and C	Village featuring Over Exposed, Myth Maker, X-joy, Peace Camp and Aruna. Live music and fire!!Photography and pyroMead and tequila viking night!!Heathen healing yurt and more fire!!!
FUCK YEAH!	2:30 and E
Fairy Wood Camp	6:30 and A	make your own damn street sign, solar charging station, swag swap
Fancy Flamingo Society	3:15 and C	Our Flamboyance runs a pizza kitchen that gives YOU the gift of gifting as you complete unsolicited pizza deliveries to the good people of BRC. 
Fantastic Sams	9:15 and A	We are the local diner and breakfast spot, and sometimes dive bar. Our camp members went to college together, and our favorite thing to do after a long night of drinking and ruckus was to get together the next morning at the local diner (the ‘waffle shop’). The perfect recharge after a night of fun. Best of all though, we all enjoyed the camaraderie of hashing out details and reviewing the highlights of the night before. This ritual has followed us to the Burn, where our group has been informally hosting morning meals for our playa friends at our homestead. Everyone sits around in our cozy camp common area drinking coffee, eats a fantastic breakfast, and shares their experiences from the night before.Our gift is breakfast. Our ask is to share your adventures from last night.
Fat Panda	4:15 and D	Food, movies, and bad advice
Feed the Artists	10:00 and G	Feed The Artists is the premiere "food as art camp" for 13 years now serving outstanding mobile cuisine to artists working on their installations in deep playa during build week.
Fermented Reality	7:45 and B	Fermented Reality celebrates fermentation in all its forms – of foods, drinks, the mind, and the body! Throughout the week we’ll host informative workshops, silly happy hours with fermented foods and drinks, and top it off with a wacky, furmented party. Come by our dome during the evenings for a immersive multisensory fermentation experience, or at any time to mail a letter to your future self. We hail from 7 countries and 6 US states and would love to meet you and share stories on the playa!
Fhloston Paradise	5:15 and D	Art Support Camp for the project "Transmutation"
Fire Pixels	4:00 and D	We're building a digital display with a twist -- every pixel is live fire.  
First Bank of BRC	4:15 and C	Servicing all your banking needs!! We'll have a 24/7 ATM for your playa essentials, and daily banking hours for fun, games, drinks, and financial transactions. 
Flaming Flamingos	3:15 and 2400	Fire art camp and disco lounge
Flaming Lotus Girls	3:00 and 2400	This year FLG is taking the bugs to Burning Man. SERENITY is an immersive fire sculpture of fireflies, built by the Flaming Lotus Girls, a San Francisco-based volunteer art collective.
Flaming Ugly Cowboy Saloon	2:30 and E	The Flaming Ugly Cowboy Saloon is a honky tonk from a movie directed by the bastard love child of Frederico Fellini and Sergio Leone. We hoot, we holler, and we poor the finest handcrafted beers, spirits, and cocktails this side of the Quinn River. 
Flamingo Camp	7:30 and I
Flat Earth Supreme!	4:15 and H	Acolytes of the Flat Earth we are merrymakers with PHDs in Flat Earthology!
Flat Tire Cafe	4:30 and B	We’ll be serving up cold coffee, repairing bikes, and offering our chill lounge with giant games
Floasis	4:30 and G
Flying Falafels	9:30 and A
Fomogenesis	2:30 and G
Freak Akademy	6:45 and H	Welcome to the Freak Akademy, students. We here at the Akademy believe in a completely open and inclusive learning space for all things freaky. With our wide variety of random classes and top Fakulty we can make sure you will be a Certified Freak™ by the end of the burn.Our class room is open 25/8. In fact, our Fakulty will hold office hours randomly so those looking to suck up and get some “extra credit” will have ample opportunity to get a-head.
Freak Camp	6:10 and K
Free Photography Zone	4:30 and J	The Free Photography Zone has been photographing and giving prints to the participants of Burning Man for the past 22 years. Each person photographed is given an instant print of their BM portrait and then photographed on black and white medium format film.
Freestyle Palace	4:45 and 2400	Playa Talent Incubator.Now in its second decade, a collaborative music play space and sound stage featuring open jams, hip hop, nightly DJ sets and live performance shows from sunset to about 2:00 am. Our stage and our microphones are open to all comers. Part alchemy and part black magic, FreeStyle Palace is an amalgam of sophisticated and authentic Urban Underground music and culture forged by the heat of the Black Rock Desert and polished by the collective talent of the Burning Man Community.
Fresh Squeezed!	5:00 and A	Art & Lemonade since 2006. Come join us for ice cold lemonade and group painting. Mon-Sat 10-5!
Friend Manufacturing Cooperative	6:30 and H	Ready to wear and bespoke friendships. Fire pit (night). Coffee (morning). Time machine (yes).
Friendgasm	8:45 and H	We throw parties, workshops, and have a Fwed (Friend-Wedding) chapel out front. Look for our party dome with a big Friendgasm sign on it!
Friends without Fucking Benefits	9:15 and F
Friendzied Serenity	6:45 and D	A Chill Lounge in the SuburbsCome relax in the shade and try one of the special Kiwi drinks away from the hustle & bustle of the Esplanade We feature Arts & Crafts Happy Hour, Bike Repairs, fun dance parties, relaxing with coffee in the morning, and fun and laid back people.
Frogma	4:45 and A	Proud artists behind the No Place Like Home playa art. Workshops and events including Intro to Fire Effects, Intro to Camp Solar Power and the Surrealist Debate.
Frothin' Weirdos	9:30 and A	Small but growing sound camp. We throw parties, get ya drunk and feed you occasionally!
Frozen Oasis	8:15 and C	Frozen Oasis Lounge*Home of the Black Rock Philharmonic*Shelter from the storm and relax under the misters with a frozen yummy slushy drink and a live classical music performance by the Black Rock Philharmonic
Fukkit itz fyne	2:45 and G	Marley the Playa Copter Mutant Vehicle Camp & Martini Bar
Functional Nightmare Agency	6:00 and A
Funky Town	10:00 and H	Funkytown is a Burning Man sound camp - made up of movers and makers from Montana, Colorado, California, New York, and beyond. Funkin' it up since 2005
Funtown	3:15  and 2400
Fuzz Patrol	3:30 and F	Come chill with the gang at Fuzz Patrol. Bedouin Elixirs, Climbing Pyramid, Beats and a fantastic place to visit the brain of The Man!! 
G Spot	6:45 and D	Day bar with daily drink specials
GIGSVILLE	3:15 and C
GLOBAL VILLAGE	3:30 and E
GOLDEN GUY ALLEY	7:15 and E	A neighborhood of micro spaces, fostering community and conversation.
GYPSY NEBULA VILLAGE	2:30 and B
GYST Get Your Shit Together	9:45 and C	GYST is all about helping people get their shit together, drinks, tutu, love.
Galactic Labyrinth	3:45 and B	We are a Burning Man theme camp composed of heart-centered individuals with the common desire to co-create an intimate and connected camp experience. We are here to explore, play, grow, transform and evolve together. We are soul family.Our offering and focal point of our camp is a labyrinth - a sacred space where one can journey to the center of their deepest self and back out on to the playa with a profound understanding of who they are. The labyrinth is a model and reminder that we are all on a path and exactly where we need to be. 
Galactic Relay	5:50 and J	The home spaceport of Out of Band III
Gallavant	2:30 and D	Gallavant has been on playa since 2001, starting with the art car USS Nevada. We've expanded to include a rum bar called ArrghBar, serving 2 signature drinks: Seaman and Sunrise. We host 14 parties thru the week at the bar which is open from 10am to 10pm. Come get your drink and your sea legs put on and become a true Pirate of the Playa.
Game of Cones	6:45 and H	Winter is coming for all at Game of Cones, who is celebrating its first trip to the playa by gifting snow cones to all. Each of the flavors even has its own house name! We strive to make our serving space as interactive and open for all burners. Stop by our camp in the mid-afternoon to hydrate, laugh, and enjoy our wicked afternoon dance party.
Ganesh Camp	4:00 and B	Traditional Rajasthani tent with talks at noon, bar at 1, basketball, Gifting Tree, slackline.
Gay Turtles	4:15 and E	Friendly people, midnight coffee, a cozy-if-sketchy makeout yurt with tons of cushions and pillows, and the nighttime turtle light garden, all brought to you by the Gay Turtles. Look for the huge neon turtle sign 
Gears & Beers	2:45 and G	Your mutant vehicle not running correct, or you need something welded up? Come to our mechanics and we'll get you moving again. Drop by any other time for a cold Seattle microbrew from the bar. 
Genital Portrait Studio	8:00 and E	Genital Portrait Studio, the playa’s premier genital photography studio since 2000, celebrates genitalia as glorious and beautiful. A body positive and consensual space, we are welcoming to all genders and we invite you to capture your most intimate side in a keepsake laminated ID badge. 
Get Toasted	9:00 and B	We are a interactive cinnamon toast experience!
GlamCocks	7:00 and C
Glitter and Rust	7:00 and E	We are just a bunch of friends happy to camp together. No added offerings but will give out plenty of free (mostly free) hugs. 
Glowskull Asylum	3:45 and E	Unique and diverse metal bar SkØllushery, plus morning death metal yoga sessions! And of course the awesome Glowskull art car which hosts the deep playa mosh pit. 
Go the Fuck to Sleep	5:15 and G
Good Question?	8:30 and A	What's our camp like? Good Question?!
Good Vibe Tribe 	8:30 and G	The Good Vibe Tribe camp presents a unique and immersive experience complete with DJs, live music, numerous workshops, fire performances, and burlesque at the Badlands Bordello. Come by, chill in our groovy lounge with some awesome beats and let us serve you a hand-crafted cocktail. Themed costumes and/or vintage formalwear are encouraged but not required.
Grateful Floyd	6:15 and I	Music, cold draft IPA, and Butterfly Burn (a Declaration Celebration around this art piece about Metamorphosis)
Gravity 	9:15 and H	Step into a digital realm of perceptual vastness, defying the physical and mental limitations of your perceived reality. Gravitate towards your dream experience in one of many time and space altering attractions. You will surely find your true center of gravity here.
Grilled Cheese Experience	2:45 and D	Playa name change booth, curated art up for grabs, grilled cheese served 5pm daily, DIY workshops, ass smacks and other fun....
Grilled Cheese Incident	3:45 and B
Gymnasium 	7:30 and G	Our camp is a group of approximately 25 campers who embrace the freedom of naturist activities both on and off the Playa. Camp members are gay and straight, multiple ethnicities and come from countries around the world. We host several naked sporting events including our famous naked oil wrestling matches! Come get oily, naked, artsy, or just say hello. 
Gypsy Monkeys	2:30 and B
HEX	10 and A	Who is HEX? Established in 2014 as Pollen Nation, our camp began as a rag-tag tribe of Coloradans in bee costumes. In 2019 we will undergo a metamorphosis of epic proportion into our sound camp alter ego, HEX! We are leaving our usual hive in the 7:30 sector to set up some new honeycombs on the 10 o'clock sound arm! We are still the buzzy bitches you have come to know and love on Playa, but with a shiny new set of diddlers...er speakers. Over the years we have been a stilt bar, and nectar bar and have become home to Hot CoCo, Denver's Burning Man Fire Conclave group. Hot CoCo has been invited for their 5th consecutive year to perform with the conclave under The Man and will call HEX their home this year. Our camp will include:Large metal fire art & poofers brought to you by Gammaspace Large interactive fire sculpture!Massive soundTemple sitting areasRetox/detox bar Sideshows Hexagon interactive RGB-lit stageA community in full realizationAND SO MUCH MORE! And as always BUZZ BUZZ BITCHES! 
HEX Collective	3:30 and B
HUGGZILLA	10:00 and H	Unlocking human intimacy among people regardless of race, age, gender, or sexuality
HUSHVILLE	5:15 and E	Our Rules:No generators of any kind, of any size, at any time.No amplified sound.Leave No Trace! No trace of your presence or the presence of Hushville.
Habitat for Insanity	4:30 and B	Habitat for Insanity embraces the creation of fun burner food, events and discussion. We’re a do-ocracy, meaning that although we do not assign tasks, we manage to accomplish a lot!
Hack-a-Cola	3:00 and B
Hair of the Dog (HOTD)	5:45 and B	HOTD is the oldest running full time bar and live music venue. 
Hammer And Cyclery	2:30 and G	Bike repair, rentals, workshops, and donations.
Hammered and Sickeled	9:45 and C	Russian Themed Bar – serving up all kinds of drinks and specializing in flavored vodka shots
Hammock Hangout	4:30 and E	Karaoke bar and lounge.Giant parachute shade structure, perfect for daytime relaxing. Cool drinks. Daytime party every day. 
Hangry Bishop	7:15 and G	A medieval diner serving grilled cheeses, virgin bloody Marys, and other snacks to eradicate hanger on the playa!
Harmonic Convergence Cafe	4:30 and E	A full-service cafe and healing center doing physical body work + metaphysical energy work + emotional trauma release
Havana Nights	8:00 and B	HAVANA NIGHTS is a perpetual Cuban-themed party, with a laid-back Miami feel. Palm trees around the perimeter of a large shaded, dance floor; comfortable, elevated chill pads available for guests to relax. 
Heart Beats	2:45 and G	Heart Beats is a small playa family offering a cuddle dome with ambient and downtempo tunes aimed at opening the heart, mind, and soul. We’re offering a safe space to relax and get real with music, open mics, runs, yoga, mocktails, and 24 hour good vibes. Lift your spirits, lift your neighbor’s spirits, elevate the collective, and chill. Come by any morning after the event opens for some cold brew coffee.
Heart Tribe	2:15 and G	Heart Tribe is a safe, loving oasis where burners can be taken care of, connect and feel restored. Our offerings are centered around nourishment. Through a mosaic of healing modalities, elixirs and consensual touch culture, we share our hearts with the playa and invite this radiant love to ripple out. We want to take exquisite care of your body, mind, heart, and spirit so that you can experience the burn from a place of wholeness and bring more of your own talents and gifts to the playa. It is our great honor to heal, squish, hydrate, and love you up.Our main public offerings are our Healing Sanctuary and our Nourishment Lab, both of which are open 2-6pm Tuesday through Saturday and will offer healing and nourishment to people on a first come first served basis.We will also be hosting the Pee Funnel Stand and Bowie Sanctuary, as well as the Tea-Pi. 
Heavy Petting Zoo	7:15 and I!	Come get buffed by our Heavy Petting staff or enjoy a cocktail at the Heavy Petting Zoo bar! Ride our Heavy Petting Zoo art car and bump to our future bass beats! We’d love to show you a good time!
HeeBeeGeeBee Healers	6:30 and G 	Black Rock City's grounded healing oasis, celebrating our 20th year of gifting massage, energy work, yoga, meditation, classes, and workshops to thousands of members of the Burning Man community. Our community's intention is for the healing energy we cultivate to spread into the greater world, promoting love, healing, and a higher state of being for everyone.
Helioz	2:30 and B	We worship Helioz, the Sun god. Come eat delicious beasts, fight as a gladiator in our arena, drink mightily, survey the Playa from on high, and fire a laser at the Moon!
Hello Mom!	2:15 and B	Join us for family dinner, let us pack you a lunch, get sage advice/hear our wisdom (mother knows best), send a photo home to mom, come for the hugs, or call your mom. Embody the maternal spirit!
Herding Cats	7:15 and G
Herding Cats	7:15 and G	Cozy cat lounge where you can relax with some cocktails. We have a projector to enjoy watching videos, you can play on our aerial rig or enjoy a game of cat hole, I mean corn hole. 
Hippocampus	5:30 and D	Dance Church
Holi High Camp	3:00 and I
Homebrew 4A Homebrew	6:00 and A	We are your friendly neighborhood bar where everyone is welcome and feels at home. We are open 10am to midnight with cold home brewed beverages and games. Enjoy a cold beer, cider, mead or soda served daily. We have a pool table, foosball and daily events at 2pm including our Playa famous pickle party! Bring your keg and we will refrigerate and tap it, or bring a bottle to share. Come enjoy a cold beverage with us and have a taste of our different brews, then you can decide which one you like best!
Homeslice	5:00 and B	Shade, tower trampoline and wheel of misfortune
Honest MiSteak	2:15 and C	Meat! BBQs and fun!
Honey Puddle	4:30 and Portal	Celebrating the nectar of life, and sharing its spirit with others in laughter, love, and mead.
Hookahdome	2:30  and 2400
Hookers & Makers	6:00 and F	Not just the Best Bar on the playa, but we make cool things with molten metal and yarn.
Horizon	9:00 and E	Inspired by the otherworldly beauty of the playa, of the sun's glow as it meets the mountains over this surreal desert - we gather to create a community built around ideals of curiosity, and celebration. Join us for daily sunset happy hours and so much more.
Horny Camp	9:30 and C	Horny Camp is an Arts and Crafts and bar camp. As implied by our name, Horny Camp is a sex-positive and flirty camp. While many pass by expecting us to be some kind of sex-club, that is not our focus. Rather, we want to encourage embracing sexualities all of kinds and enjoying having flirty fun in a safe environment.
Hostel	8:30 and C	Individual rooms for couples.
Hot Mess Camp ex Electric Oasis 	9:30 and C	Come to visit us for incredible cocktails 
Hotdog	4:15 and I	Hotdogs and dunkaroos are what we doos
Hotel California	7:00 and D	Hotel California is a community dedicated to prototyping sustainable living and propagating generous love in society. At Burning Man, we do this by welcoming people to an oasis of generosity & deep care, where dusty visitors can refresh, re-energize, and be inspired to think differently about the ways they live and show up for themselves and each other.
Houpla	9:15 and D	Houpla is Houston’s largest theme camp and part of the Houston Art Collective non-profit organization. We specialize in bringing new burners to the playa each year and providing friendly, Texas-style hospitality.Come by in the mornings for breakfast tacos and in the afternoons for flavored water. Play our hoopla carnival game and win a prize. Join us on Wednesday for our Texas Nooner happy hour. Take a photo with our hand-painted photo wall. Ride with us on our stubby cow shuttle mutant vehicle. Toast marshmallows with us and beat your drum at our fire pit. Hang out with us in our shaded lounge. Ship your gear on our community truck. Everyone’s welcome!After Burning Man, join us weekly on Thursdays for gatherings at our warehouse space in Houston and for regional burns and art projects.
House of Sammich	7:45 and I	Home to the Great Sammich Ride mutant vehicle, roaming the playa and serving up gourmet, gluten-free, toasted peanut butter and jelly sammiches.
IDEATE	5:45 and J 	IDEATE: a place for ideas, innovation, and culture to solve the biggest problems we face on earth.
ILLUMINATION VILLAGE	3:15  and 2400
Ice Cave	9:15 and G
Iceberg Cowboys	8:30 and C	Wranglin’ Icebergs and Ridin’ em off into the sunset. Picklebacks, techno, and BBQ!
Illumelodie	4:00 and D	Host camp for Eros Tangere
Illumicamp	4:45 and Diane	Art support camp for Illumicone
Imaginarium	9:15 and G	A place for whimsy, wonder and experiential delights, The Imaginarium dome is the home of our interactive offerings to citizens of Black Rock City. A lavishly appointed chill space serves as an orpheum, or experience hall, for this year's installation “Chrysalis”.In keeping with this years art theme Metamorphosis, we are proud to present Chrysalis. This interactive multimedia structure is a beautiful and dynamic piece of art in it’s own right, but it is only when denizens of Black Rock City find their way INSIDE the Chrysalis, does the structures true purpose begin to unfold. Protected within it’s walls, each participant has a unique and very personal experience designed to explore what holds people back from positive personal change in their own lives and encourages each person to ponder one of life's greatest paradoxes, namely that one cannot change for the better, without first accepting oneself just as one is. 
In Dust We Trust 	4:00 and I	Lingerie and SnoCones
Inappropirates 	2:30 and A	coffee & love
Industry	3:00 and G	Hot Dogs, Dance Parties, and Aerial Yoga.
Infinite Love	6:10 and D	Infinite Love is a loving community that sparks transcendent experiences.
Inflation Station 	9:00 and D	Bike Pumps, tubes, patches. Old-school low-key shade bar & lounge
Insomnia	7:45 and I	It’s the return of the Evening Cartoon Party!Every night all Burners are invited to chill in our cinema and to enjoy a variety of breath-taking cartoons.It’s that special time when kids-at-heart get to relive the exciting ritual of non-stop cartoons. As always, this 3-hour trip into the weird and wonderful world of yesteryear’s animated antics will be accompanied by an all-you-can eat popcorn.The cartoon lineup is always a mystery, so get ready for a sugar rush and an explosion of nostalgia all wrapped up in one candy-coated package.
Instant Gratification	7:30 and J	Instant Gratification presents The Living Room
Interaction Cafe	7:30 and F	Wanna interact? We serve interactions of all kinds. Playful, musical, verbal, meaningful or ridiculous...whatever you choose from the offerings on your server's menu. Perhaps you'd like to start off with a casual conversation for an appetizer, engage in a crazy game for an entree and end with a song for dessert while you drink in the moment. Co-create the burning man experience you want. Once you're there, it's hard to leave, cause you never know what's going to happen next in our cafe!
Intergalactic Sasquatch Village	3:30 and A	The beamed in playa base of the Intergalactic Sasquatch.
Invisible Pink Unicorns	4:45 and H	Fluffiest hugs on the Playa
Irrelephant Bird Camp	7:00 and E 
Is This Now?	3:45 and A	Psst... Whether you're nostalgic or future-minded, here is your place to embrace the NOW and get lost in time as you enjoy some quality libations and conversations! Will it be you?
JOBI: Coffee, Tea or Me?	9:00 and B	We offer sunrise service of coffee, tea, hot cocoa at 7:00 a.m. every morning. Plus 3 afternoons we will have smoked meats for your protein fix. plus late night chill space with sofas, a fire, a greeter and black coffee. Do stop by you lovelies!
Janky As Fuck	9:15 and G	Cereal bar and cartoons Mon-Fri mornings of the burn
JankyAzzCats.0	4:15 and H	Village includes: The Janky Barge Camp, Black Rock Bandits, Catmandu, CRTT.0
Jipangu	6:30 and B	Japanese Green Tea, Cold Sake, Jewelry Boutique and Workshop, Large-Scale Sumi-e Flow Art
Jurassic Snark	2:45 and H
KIDSVILLE	5:00 and E	Kidsville is a village of kid oriented theme camps and individual family camps. We provide a safe haven from which to explore the magic of Burning Man!
Kaleidoscope	5:30 and G:anymede 	We bring you the best coffee on the playa. Hand roasted in small batches, freshly ground pour-over style with (almost) no dust in it.. Plus crows nest lookout tower, chill beats, and daytime workshops and parties
Kaleidoscope Collective	4:00 and E
Kamp Skynyrd	3:15 and C	An Oasis of Ignorance in a Sea of Enlightenment.
Karma Love	8:15 and G
Kentucky Fried Camp	3:00 and B 	We bring gentile Kentucky hospitality, combining elements of sweet down home with a sprinkling of agro/punk for spicing up the scene. Start your morning with a gourmet fried bologna sandwich to coat your stomach. Add a shot of KY Bourbon to rinse the Playa from your throat. Guests are welcome ’round the clock in our Old Kentucky Dome, with plenty of fun activities from yoga, spa treatments, crafting, storytelling, music playing, & just good ole socializing. Our dome is cool & shaded during the day & stocked with plenty of warm blankets & cuddle spots for cool nights in BRC. Everyone is welcome to join us mid-week at our illuminated Kentucky Fried Cotillion! Don’t miss the fastest minute in BRC sports with the annual Whoreshoe Derby! HEYY!
Kindergarten Kamp	7:00 and H
KonaZona	6:15 and G
Kosmic Kamels	8:45 and A	Kosmic Kamels bringing you PEACE (and from the Middle East! What?!?) Let us host your weary souls in our chill desert lounge, mixing kosmic Bedouin-style ambiance, electro-arab tunes, strong muddy coffee and sweet tea - and of course our high-class hookahs ;) We hail from all across the middle-east (Jordan, Egypt, Dubai, Israel, Palestine & Lebanon) and we're here to create a mini-utopia within our already utopic city. So let our Sheikh Yo Ass crew host YOU (yes, YOU) as you chill, dance, meet and grow closer. 
Kostume Kult	6:45 and 2400	Kostuming the unkostumedWe’re a large theme camp that gifts costumes. We’ll be open on Monday and be around all week during the day for all your costume and crafting needs. Monday is Horny Monday (we give away horns) and on other days we'll help you make tutus and booty shorts and we’ll have some other fun surprises on the other days. There’s also a crafting dome to fix your broken costumes. But every day—free costumes. On Saturday, we have a 50% off and buy one get one free sale.Our only requirement is that once you get your free new outfit, you must walk the plank, I mean costume runway, and be serenaded by our entertaining emcees, which in turn entertains the masses. There will be plenty of seating for all your spectating needs. Shade is available under the K train. Naked people, kids and those who donate costumes get to cut the line.
Krepe Burners	6:15 and G
LA CALACA VILLAGE	3:00 and K
LAFer (Lazy Ass Fuckers) Camp	6:45 and H	You’ve worked too hard — come visit The Lazy Ass Fuckers! Sit your lazy ass down and rest a while. Don’t leave without visiting the Playa Artifacts Museum AKA House of Swag!
LAKES ON THE PLAYA	3:30  and 2400
LED Dinosaur	8:30 and A	LED Dinosaur is the best place at Burning Man to make a new friend! Come by in the evening to grab some LEDs & cold beer while you listen to music & watch a midnight lecture.
La Cabaña Comfort Stop	5:15 and E
La Catrina Tequilera	8:45 and C	Come hide from the heat and join us for a traditional mexican game of loteria, while sipping tequila and munching mexican snacks.
La Escuelita Camp	4:45: and H 	We’re the “La Escuelita” (“Small Classroom”) team, a friendly and helpful group of burners from different backgrounds that strives to teach newcomers and old comers alike about how to implement the ten principles during your burn and beyond!In 2017, we brought MÚCARO, our wise, woody owl dedicated to teachers everywhere. Inspired by the incidents we witnessed at our installation and the vandalism we heard about from other artists, we realized we needed to be teachers ourselves.Most of our programming will take place on buses or art cars. With a “learning is fun” mindset, we’ll use quizzes, reenactments and songs to impart tips and tricks designed to embed the principles into your very soul.
La Grange	7:45 and I	Our camp’s main goal is to create trascendental experiences of life through colorful and original expressions of art, creativity & self-expression. We are ambassadors of the Wixarika culture through the world and are committed to the growth of the this community. This year we will celebrate the metamorphoses, and we invite you to celebrate it with us in our way, a holistic one!
Land of Monkey	7:45 and C	ROWWWWWRRRRRR: Welcome to the Land of Monkey (formerly the Sun Guardians and formerly Monkey Bar who have evolved after 6 years on the playa). We are growing and expanding into this new concept for 2019; taking our 5 years of experience to a new place. We are all things monkey. Join us if you dare. But, do the work. Cuz'n we no taking no lazy monkeys on this journey!
Lavender Lounge	7:45 and D	A lavender day spa, come in for our famous lavenderization treatment and walk away feeling refreshed and relaxed, ready to take on the world!
Lazy Skool Daze	4:00 and D	Lazy Skool Daze brings back your school days– with an adult twist! Come join us for Drunk 90s Singalong, Punderdome, Recess, face painting, Make-Your-Own-Instrument Music Class, and sunset cuddles and drinks! Look for the giant alphabet blocks and trampoline.
Le Kafé	9:00 and G	Warm. Loving. Sexy. Coffee. Home. Step out of the morning sun and start the day right – Le Kafé style! Our cheerful, sexy servers in French maid regalia will jumpstart your body and mind with organic coffee and tea. Want a little breakfast treat? Nibble on pastries, biscotti, and maybe even some authentic French crepes. Don’t forget to bring your own cup! Le Kafé also functions as a nearly 24 hour open-house. While we honor privacy for camp members, a key part of our mission of interactivity is our open layout that welcomes people at all hours. People fall into our "Flounge" (lounge of many futons) to hang out, listen to music, or join us in more active pursuits like street bocce ball and corn hole tossing. People find relaxing shade everywhere and napchat on our futons, cushions, chairs and tables, large hammock and porch swing out front. Le Kafé provides dedicated, "down-tempo" entertainment
Legends of the Hidden Playa	4:15 and H	Obstacle course/escape maze loosely based of a 90s game show but re-themed to test your BM preparedness. 
Leopard Martini Lounge	5:00 and C
Let It Go	7:45 and H	Let It Go believes that letting go is one of the most important components of making Burning Man a truly transformational experience. When burners arrive on the playa, we all find ourselves holding onto the complexities of the default world in one way or another. Let It Go’s goal is to help our fellow burners wash away their daily lives, and truly dive into the experience that only Burning Man can provide.
License To Chill	5:00 and D	License to Chill is back – and more chill than ever. Come visit us on playa to chill and get refreshed at our Snow Cone Bar. While you’re here, you can see just how chill you really are by visiting the Department of Chill (DOC) – our official licensing department that administers tests to confirm one’s aptitude for chilling.
Liminal Labs	6:00 and A	Our Transition Transmission Cinema has 4 theme-related feature films and shorts programs nightly (kid-friendly first show). 
Lip Service	6:45 and E	Burn the Man Not your Lips.... Bad Advice Booth
Lituanica Birds Camp	5:45 and J	Birds flying in every year from Lithuania! Bringing amazing potato pancakes and moonshine!
Lotus Ranch	2:45 and H
